pdb_id,chain_auth,chain_asym,label,description
6CQL,E,E,TCR_BETA,F24 beta Chain
6CQL,C,C,PEPTIDE,Peptide from Capsid protein p24
6CQL,B,B,MHC,"HLA class II histocompatibility antigen, DRB1-11 beta chain"
6CQL,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
6CQN,E,E,TCR_BETA,F5 beta chain
6CQN,D,D,TCR_ALPHA,F5 alpha chain
6CQN,C,C,PEPTIDE,Peptide from Capsid protein p24
6CQN,B,B,MHC,"HLA class II histocompatibility antigen, DRB1-11 beta chain"
6CQN,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
6CQQ,J,J,TCR_BETA,F24 beta chain
6CQQ,E,E,TCR_BETA,F24 beta chain
6CQQ,I,I,TCR_ALPHA,F24 alpha chain
6CQQ,D,D,TCR_ALPHA,F24 alpha chain
6CQQ,H,H,PEPTIDE,Peptide from Capsid protein p24
6CQQ,C,C,PEPTIDE,Peptide from Capsid protein p24
6CQQ,G,G,MHC,HLA-DRB1 protein
6CQQ,B,B,MHC,HLA-DRB1 protein
6CQQ,F,F,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
6CQQ,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
6CQR,F,F,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
6CQR,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
6CQR,H,H,PEPTIDE,Peptide from Capsid protein p24
6CQR,C,C,PEPTIDE,Peptide from Capsid protein p24
6CQR,J,J,TCR_BETA,F24 beta chain
6CQR,E,E,TCR_BETA,F24 beta chain
6CQR,I,I,TCR_ALPHA,F24 alpha chain
6CQR,D,D,TCR_ALPHA,F24 alpha chain
6CQR,G,G,MHC,"HLA class II histocompatibility antigen, DRB1-1 beta chain"
6CQR,B,B,MHC,"HLA class II histocompatibility antigen, DRB1-1 beta chain"
6DFX,J,H,TCR_BETA,T1D3 beta chain
6DFX,H,F,TCR_BETA,T1D3 beta chain
6DFX,I,G,TCR_ALPHA,T1D3 alpha chain
6DFX,G,E,TCR_ALPHA,T1D3 alpha chain
6DFX,E,D,MHC,MHC class II antigen
6DFX,B,B,MHC,MHC class II antigen
6DFX,D,C,MHC,MHC class II HLA-DQ-alpha chain
6DFX,A,A,MHC,MHC class II HLA-DQ-alpha chain
6PX6,E,E,TCR_BETA,"T-cell receptor, T1005.2.56, beta chain"
6PX6,D,D,TCR_ALPHA,"T-cell receptor, T1005.2.56, alpha chain,Human nkt tcr alpha chain"
6PX6,C,C,PEPTIDE,DQ2.2-glut-L1
6PX6,B,B,MHC,HLA class II histocompatibility antigen DQ beta chain
6PX6,A,A,MHC,HLA class II histocompatibility antigen DQ alpha chain
6PY2,A,A,MHC,HLA class II histocompatibility antigen DQ alpha chain
6PY2,E,E,TCR_BETA,"T-cell receptor, T594, beta chain,T-cell receptor, T594, beta chain"
6PY2,D,D,TCR_ALPHA,"T-cell receptor, T594, alpha chain,T-cell receptor, T594, alpha chain"
